"NAME","AMOUNT","PRICE","TAX","CATEGORY"
"FRISCHE KOETBUL",1,2.49,"7","OTHER"
"FRISCHE CEVAPCIC",1,2.49,"7","OTHER"
"VEG. CRISPIE WEST",1,3.29,"7","OTHER"
"KAFFEEDRINK",1,0.75,"7","OTHER"
"CRUNCHIPS PAPRIK",1,1.99,"7","OTHER"
"KNOPPERS B&W",1,2.49,"7","OTHER"
"KNOPPERS RIEGEL",1,2.49,"7","OTHER"
"WILDBERRY",2,0.89,"7","OTHER"
"CHOCO EDELHERB",3,3.79,"7","OTHER"
