"NAME","AMOUNT","PRICE","TAX","CATEGORY"
"BESTE ERNTE CORNICHONS 370G",2,1.23,"7","OTHER"
"BIO BB OLIVENOEL 750ML",1,5.49,"7","OTHER"
"VEGOLA RAPSOEL 1L",1,1.49,"7","OTHER"
"RED BULL ENERGY 250ML DS",3,0.89,"7","OTHER"
"PEYNOOS HIRTENK. 1000G",1,6.56,"7","MD"
"KARTOFFELN 4 KG",1,2.99,"7","OTHER"
"EMEUKAL ZUCKERFREI 75G",1,1.99,"7","OTHER"
