"NAME","AMOUNT","PRICE","TAX","CATEGORY"
"PASTA SPEZ. FRISCH",3,1.49,"7","OTHER"
"TEE PFEFFERMINZE",1,0.89,"7","OTHER"
"CASHEW ERDNUSS MIX",3,2.49,"7","OTHER"
"XXL-TORTELLONI MIX",1,2.59,"7","OTHER"
"OREO KEKSE 154G",1,1.29,"7","OTHER"
"PEANUT PRETZEL ST.",1,0.99,"7","OTHER"
"GOURMET PASTA 250G",1,2.29,"7","OTHER"
"CASHEWKERNE",3,1.79,"7","FV"
