"NAME","AMOUNT","PRICE","TAX","CATEGORY"
"MELONE WASSER",1,6.32,"7","FV"
"CLEMENTINEN",1,2.89,"7","FV"
"DOVGAN PLOMBIR KEFIR",1,2.29,"7","MD"
"GRIECHISCHER FETA",1,2.29,"7","MD"
"GOUDA GERIEBEN",1,1.79,"7","MD"
"OLIVENÖL KULINARISCH",1,4.99,"7","OTHER"
"H-MILCH 1,5%",1,0.99,"7","MD"
"ENERGY DRINK XXL",1,0.33,"19","OTHER"
"RACHMANINOFF WODKA",2,1.35,"19","OTHER"
