"NAME","AMOUNT","PRICE","TAX","CATEGORY"
"IGLOFILET BORD.KROSS",2,2.31,"7","MD"
"BACK-CAMEMBERT M.DIP",2,2.07,"7","MD"
"EIER FREILAND. XXL",1,3.31,"7","MD"
"TEE BERRYLICIOUS",1,1.19,"7","OTHER"
"KAMILE-FENCHEL-TEE",1,0.99,"7","OTHER"
"PREMIUM PILS",1,0.32,"19","OTHER"
