"NAME","AMOUNT","PRICE","TAX","CATEGORY"
"BANANEN",1,1,"7","FV"
"BIRNEN",1,0.75,"7","FV"
"MILRAM MUERITZER",2,1.49,"7","MD"
"MILRAM NORDL",1,1.49,"7","MD"
"KEFIR NATUR",1,0.89,"7","MD"
"NATURGUT BIO BAS",1,1.69,"7","OTHER"
"FLUTES KAESE",1,1.59,"7","MD"
"AQUIVA STILL",1,0.29,"19","OTHER"
