"NAME","AMOUNT","PRICE","TAX","CATEGORY"
"KÜRBIS HOK BIOL",1,1.67,"7","FV"
"RETTERTÜTE",1,3,"7","FV"
"BACKOFEN FEINE POMMES",1,1.49,"7","OTHER"
"DELIKAT.MAYONNAISE",1,1.69,"7","OTHER"
"CROISSANT SCHKÄ",3,0.53,"7","OTHER"
