"NAME","AMOUNT","PRICE","TAX","CATEGORY"
"BÖCKS`S GQB FENCHEL, 1 STK.",1,2.85,"7","FV"
"BIO CHAMPIGNONS CREME, SCHALE",1,2.24,"7","FV"
"BIO APFEL SANTANA, 1 STK.",1,3.39,"7","FV"
"RÜGENWALDER MÜHLE VEGANES MÜHLEN HACK TRUHENFRISCHE",2,3.29,"7","OTHER"
"SCHLOSSPILZ'S BIO KREUTERSEITLINGE, SCHALE",2,3.34,"7","FV"
"BIO BANANE, 1 STK.",1,1.88,"7","FV"
"CHIEMSEER BIO ORANGENSAFT (MEHRWEG)",1,3.59,"19","OTHER"
"YUTTO BIO SOJADRINK VEGAN",10,0.85,"19","OTHER"
"YUTTO BIO HAFERDRINK VEGAN",10,0.8,"19","OTHER"
