"NAME","AMOUNT","PRICE","TAX","CATEGORY"
"KARTOFFEL-GITTER",1,1.99,"7","OTHER"
"WAGNE.",1,4.99,"7","OTHER"
"RÜGENW. VEG. WÜRSTCHEN",2,2.22,"7","OTHER"
"8 DELIKATESS WIENER",1,3.19,"7","MD"
"HÄHNCHENBRUSTFILET",1,2.29,"7","MD"
"MEICA DEUTSCHLÄNDER",1,4.99,"7","MD"
"BROT VK. K. BIOL.",1,2.19,"7","OTHER"
"HOT DOG BRÖTCHEN",2,0.99,"7","OTHER"
