"NAME","AMOUNT","PRICE","TAX","CATEGORY"
"G&G WEIZ. BRÖTCHEN",1,1.19,"7","OTHER"
"G&G KART. CHIPS",1,1.09,"7","OTHER"
"LIE. URK. MEHRK. BROT",1,2.29,"7","OTHER"
"FUNNY CHIPSFRISCH",1,1.99,"7","OTHER"
"GURKEN KLEIN",1,0.59,"7","FV"
"G&G SCHINKENWURST",1,0.99,"7","MD"
"G&G KÄSEAUFSCHN.",1,1.89,"7","MD"
"EGEN MANDARINEN",1,1.49,"7","FV"
"WILT. SALAMI",1,1.15,"7","MD"
